Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,Type,Cost,Rarity,Price,Image URL,Last Updated
1,Cultivate,Core Set 2021,317,,,,,,,,,,Sorcery,{2}{G},Rare,$2.52,https://s.deckbox.org/system/images/mtg/cards/2012763.jpg,2021-11-07 13:42:21 UTC
1,Curious Pair // Treats to Share,Throne of Eldraine,296,,,foil,,,,,,,Creature - Human Peasant // Sorcery - Adventure,{1}{G} // {G},Common,$0.27,https://s.deckbox.org/system/images/mtg/cards/2005536.jpg,2021-11-07 13:15:47 UTC
1,"Dakkon, Shadow Slayer",Modern Horizons 2,363,,,,,,,,,,Legendary Planeswalker - Dakkon,{W}{U}{B},MythicRare,$0.80,https://s.deckbox.org/system/images/mtg/cards/2019898.jpg,2021-11-07 13:33:02 UTC
1,Defiant Strike,Strixhaven Mystical Archive,66,,,,,,,,,,Instant,{W},Uncommon,$0.35,https://s.deckbox.org/system/images/mtg/cards/2018918.jpg,2021-11-07 11:25:39 UTC
1,Demonic Bargain,Innistrad: Crimson Vow,368,,,,,,,,,,Sorcery,{2}{B},Rare,$0.34,https://s.deckbox.org/system/images/mtg/cards/2024076.jpg,2021-12-09 07:42:55 UTC
1,Divine Gambit,Strixhaven Mystical Archive,67,,,,,,,,,,Sorcery,{W}{W},Uncommon,$0.27,https://s.deckbox.org/system/images/mtg/cards/2018919.jpg,2021-11-07 11:26:10 UTC
1,Duress,Strixhaven Mystical Archive,92,,,,,,,,,,Sorcery,{B},Uncommon,$1.13,https://s.deckbox.org/system/images/mtg/cards/2018944.jpg,2021-11-07 11:31:28 UTC
1,Everquill Phoenix,Ikoria: Lair of Behemoths,292,,,,,,,,,,Creature - Phoenix,{2}{R}{R},Rare,$0.19,https://s.deckbox.org/system/images/mtg/cards/2011813.jpg,2021-11-07 13:05:55 UTC
1,Felidar Retreat,Zendikar Rising,292,,,,,,,,,,Enchantment,{3}{W},Rare,$1.07,https://s.deckbox.org/system/images/mtg/cards/2014853.jpg,2021-11-07 11:47:19 UTC
1,Forest,Unstable,216,,,,,,,,,,Basic Land - Forest,"",BasicLand,$3.07,https://s.deckbox.org/system/images/mtg/cards/439605.jpg,2021-11-09 16:07:16 UTC
1,Forest,Double Masters,381,,,,,,,,,,Basic Land - Forest,"",BasicLand,$1.58,https://s.deckbox.org/system/images/mtg/cards/2014151.jpg,2021-11-07 13:00:37 UTC
1,Forest,Zendikar,246,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.71,https://s.deckbox.org/system/images/mtg/cards/195158.jpg,2021-11-09 16:06:28 UTC
1,Forest,Zendikar,247,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.41,https://s.deckbox.org/system/images/mtg/cards/201962.jpg,2021-11-09 16:06:28 UTC
1,Forest,Zendikar,249,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.29,https://s.deckbox.org/system/images/mtg/cards/195183.jpg,2021-11-09 16:06:28 UTC
1,Forest,Battle for Zendikar,270,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.24,https://s.deckbox.org/system/images/mtg/cards/401889.jpg,2021-11-07 13:00:37 UTC
1,Forest,Battle for Zendikar,271,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.21,https://s.deckbox.org/system/images/mtg/cards/401888.jpg,2021-11-07 13:00:37 UTC
1,Forest,Battle for Zendikar,272,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.19,https://s.deckbox.org/system/images/mtg/cards/401891.jpg,2021-11-07 13:00:37 UTC
1,Forest,Battle for Zendikar,273,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.19,https://s.deckbox.org/system/images/mtg/cards/401886.jpg,2021-11-07 13:00:37 UTC
1,Forest,Battle for Zendikar,274,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.20,https://s.deckbox.org/system/images/mtg/cards/401890.jpg,2021-11-07 13:00:37 UTC
1,Forest,Amonkhet,254,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.21,https://s.deckbox.org/system/images/mtg/cards/426956.jpg,2021-11-07 13:00:37 UTC
1,Forest,Hour of Devastation,189,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.27,https://s.deckbox.org/system/images/mtg/cards/430878.jpg,2021-11-07 13:00:37 UTC
1,Forest,Zendikar Rising,279,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.25,https://s.deckbox.org/system/images/mtg/cards/2014834.jpg,2021-11-07 13:00:37 UTC
1,Forest,Zendikar Rising,280,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.30,https://s.deckbox.org/system/images/mtg/cards/2014835.jpg,2021-11-07 13:00:37 UTC
1,Forest,Innistrad: Midnight Hunt,276,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.48,https://s.deckbox.org/system/images/mtg/cards/2022616.jpg,2021-11-07 13:00:37 UTC
1,Forest,Innistrad: Midnight Hunt,277,,,,,,,,,,Basic Land - Forest,"",BasicLand,$0.47,https://s.deckbox.org/system/images/mtg/cards/2022617.jpg,2021-11-07 13:00:37 UTC
1,Garenbrig Carver // Shield's Might,Throne of Eldraine,298,,,,,,,,,,Creature - Human Warrior // Instant - Adventure,{3}{G} // {1}{G},Common,$0.13,https://s.deckbox.org/system/images/mtg/cards/2005538.jpg,2021-11-07 13:16:05 UTC
1,Glowstone Recluse,Ikoria: Lair of Behemoths,296,,,,,,,,,,Creature - Spider,{2}{G},Uncommon,$0.21,https://s.deckbox.org/system/images/mtg/cards/2011817.jpg,2021-11-07 13:06:50 UTC
1,Grapeshot,Strixhaven Mystical Archive,39,,,,,,,,,,Sorcery,{1}{R},Rare,$0.33,https://s.deckbox.org/system/images/mtg/cards/2018891.jpg,2021-11-07 11:22:18 UTC
1,Growth Spiral,Strixhaven Mystical Archive,124,,,,,,,,,,Instant,{G}{U},Rare,$5.89,https://s.deckbox.org/system/images/mtg/cards/2018976.jpg,2021-11-07 11:39:34 UTC
1,"Illuna, Apex of Wishes",Ikoria: Lair of Behemoths,300,,,,,,,,,,Legendary Creature - Beast Elemental Dinosaur,{2}{G}{U}{R},MythicRare,$0.64,https://s.deckbox.org/system/images/mtg/cards/2011821.jpg,2021-11-07 13:08:04 UTC
1,Infuriate,Strixhaven Mystical Archive,104,,,,,,,,,,Instant,{R},Uncommon,$0.30,https://s.deckbox.org/system/images/mtg/cards/2018956.jpg,2021-11-07 11:34:45 UTC
1,Island,Unstable,213,,,,,,,,,,Basic Land - Island,"",BasicLand,$3.59,https://s.deckbox.org/system/images/mtg/cards/439602.jpg,2021-11-09 16:10:28 UTC
1,Island,Double Masters,375,,,,,,,,,,Basic Land - Island,"",BasicLand,$1.42,https://s.deckbox.org/system/images/mtg/cards/2014145.jpg,2021-11-07 12:01:18 UTC
1,Island,Zendikar,234,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.30,https://s.deckbox.org/system/images/mtg/cards/201966.jpg,2021-11-09 15:54:25 UTC
1,Island,Zendikar,235,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.32,https://s.deckbox.org/system/images/mtg/cards/201964.jpg,2021-11-09 15:54:25 UTC
1,Island,Zendikar,236,,,,,,,,,,Basic Land - Island,"",BasicLand,$2.10,https://s.deckbox.org/system/images/mtg/cards/201963.jpg,2021-11-09 15:54:25 UTC
1,Island,Zendikar,237,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.28,https://s.deckbox.org/system/images/mtg/cards/195170.jpg,2021-11-09 15:54:25 UTC
1,Island,Battle for Zendikar,255,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.23,https://s.deckbox.org/system/images/mtg/cards/401925.jpg,2021-11-07 11:57:09 UTC
1,Island,Battle for Zendikar,256,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.19,https://s.deckbox.org/system/images/mtg/cards/401923.jpg,2021-11-07 11:57:09 UTC
1,Island,Battle for Zendikar,257,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.22,https://s.deckbox.org/system/images/mtg/cards/401926.jpg,2021-11-07 11:57:09 UTC
1,Island,Battle for Zendikar,258,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.23,https://s.deckbox.org/system/images/mtg/cards/401927.jpg,2021-11-07 11:57:09 UTC
1,Island,Battle for Zendikar,259,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.20,https://s.deckbox.org/system/images/mtg/cards/401921.jpg,2021-11-07 11:57:09 UTC
1,Island,Amonkhet,251,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.19,https://s.deckbox.org/system/images/mtg/cards/426953.jpg,2021-11-07 12:01:18 UTC
1,Island,Hour of Devastation,186,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.28,https://s.deckbox.org/system/images/mtg/cards/430875.jpg,2021-11-07 12:01:18 UTC
1,Island,Innistrad: Midnight Hunt,270,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.62,https://s.deckbox.org/system/images/mtg/cards/2022610.jpg,2021-11-07 11:57:09 UTC
1,Island,Innistrad: Midnight Hunt,271,,,,,,,,,,Basic Land - Island,"",BasicLand,$0.38,https://s.deckbox.org/system/images/mtg/cards/2022611.jpg,2021-11-07 11:57:09 UTC
1,Lonesome Unicorn // Rider in Need,Throne of Eldraine,276,,,,,,,,,,Creature - Unicorn // Sorcery - Adventure,{4}{W} // {2}{W},Common,$0.27,https://s.deckbox.org/system/images/mtg/cards/2005516.jpg,2021-11-07 13:12:37 UTC
1,Lore Drakkis,Ikoria: Lair of Behemoths,301,,,,,,,,,,Creature - Lizard Beast,{1}{U}{R},Uncommon,$0.17,https://s.deckbox.org/system/images/mtg/cards/2011822.jpg,2021-11-07 13:08:27 UTC
1,Lucky Offering,"",,Near Mint,English,,,,,,,,Sorcery,{W},Common,$0.01,https://s.deckbox.org/system/images/mtg/cards/2025503.jpg,2022-02-14 03:23:02 UTC
1,Merfolk Secretkeeper // Venture Deeper,Throne of Eldraine,284,,,,,,,,,,Creature - Merfolk Wizard // Sorcery - Adventure,{U} // {U},Common,$0.76,https://s.deckbox.org/system/images/mtg/cards/2005524.jpg,2021-11-07 13:14:14 UTC
1,Mordenkainen,Adventures in the Forgotten Realms,64,,,,,,,,,,Legendary Planeswalker - Mordenkainen,{4}{U}{U},MythicRare,$1.84,https://s.deckbox.org/system/images/mtg/cards/2020602.jpg,2021-11-07 13:49:01 UTC
1,Mountain,Unstable,215,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$2.04,https://s.deckbox.org/system/images/mtg/cards/439604.jpg,2021-11-09 16:07:48 UTC
1,Mountain,Double Masters,379,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$1.49,https://s.deckbox.org/system/images/mtg/cards/2014149.jpg,2021-11-07 12:58:06 UTC
1,Mountain,Zendikar,242,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.32,https://s.deckbox.org/system/images/mtg/cards/201968.jpg,2021-11-09 15:59:52 UTC
1,Mountain,Zendikar,243,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.23,https://s.deckbox.org/system/images/mtg/cards/201967.jpg,2021-11-09 15:59:52 UTC
1,Mountain,Zendikar,244,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.30,https://s.deckbox.org/system/images/mtg/cards/201969.jpg,2021-11-09 15:59:52 UTC
1,Mountain,Battle for Zendikar,265,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.21,https://s.deckbox.org/system/images/mtg/cards/401962.jpg,2021-11-07 12:58:06 UTC
1,Mountain,Battle for Zendikar,266,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.19,https://s.deckbox.org/system/images/mtg/cards/401959.jpg,2021-11-07 12:58:06 UTC
1,Mountain,Battle for Zendikar,267,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.35,https://s.deckbox.org/system/images/mtg/cards/401956.jpg,2021-11-07 12:58:06 UTC
1,Mountain,Battle for Zendikar,268,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.18,https://s.deckbox.org/system/images/mtg/cards/401961.jpg,2021-11-07 12:58:06 UTC
1,Mountain,Battle for Zendikar,269,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.19,https://s.deckbox.org/system/images/mtg/cards/401960.jpg,2021-11-07 12:58:06 UTC
1,Mountain,Amonkhet,253,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.21,https://s.deckbox.org/system/images/mtg/cards/426955.jpg,2021-11-07 12:58:06 UTC
1,Mountain,Hour of Devastation,188,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.33,https://s.deckbox.org/system/images/mtg/cards/430877.jpg,2021-11-07 12:58:06 UTC
1,Mountain,Innistrad: Midnight Hunt,274,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.38,https://s.deckbox.org/system/images/mtg/cards/2022614.jpg,2021-11-07 12:58:06 UTC
1,Mountain,Innistrad: Midnight Hunt,275,,,,,,,,,,Basic Land - Mountain,"",BasicLand,$0.19,https://s.deckbox.org/system/images/mtg/cards/2022615.jpg,2021-11-07 12:58:06 UTC
1,"Nahiri, Heir of the Ancients",Zendikar Rising,282,,,,,,,,,,Legendary Planeswalker - Nahiri,{2}{R}{W},MythicRare,$0.71,https://s.deckbox.org/system/images/mtg/cards/2014837.jpg,2021-11-07 13:50:36 UTC
1,"Nethroi, Apex of Death",Ikoria: Lair of Behemoths,303,,,,,,,,,,Legendary Creature - Cat Nightmare Beast,{2}{W}{B}{G},MythicRare,$1.58,https://s.deckbox.org/system/images/mtg/cards/2011824.jpg,2021-11-07 13:08:47 UTC
1,Opt,Strixhaven Mystical Archive,82,,,,,,,,,,Instant,{U},Uncommon,$2.03,https://s.deckbox.org/system/images/mtg/cards/2018934.jpg,2021-11-07 11:28:41 UTC
1,Parcelbeast,Ikoria: Lair of Behemoths,304,,,,,,,,,,Creature - Elemental Beast,{2}{G}{U},Uncommon,$0.22,https://s.deckbox.org/system/images/mtg/cards/2011825.jpg,2021-11-07 13:08:59 UTC
1,Persistent Petitioners,Secret Lair Drop Series,597,Near Mint,English,,,,,,,,Creature - Human Advisor,{1}{U},Rare,$74.01,https://s.deckbox.org/system/images/mtg/cards/2024719.jpg,2022-02-14 03:24:53 UTC
1,Plains,Unstable,212,,,,,,,,,,Basic Land - Plains,"",BasicLand,$2.59,https://s.deckbox.org/system/images/mtg/cards/439601.jpg,2021-11-09 16:11:05 UTC
1,Plains,Double Masters,373,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.74,https://s.deckbox.org/system/images/mtg/cards/2014143.jpg,2021-11-07 12:51:20 UTC
1,Plains,Zendikar,230,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.32,https://s.deckbox.org/system/images/mtg/cards/195179.jpg,2021-11-09 15:53:18 UTC
1,Plains,Zendikar,231,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.26,https://s.deckbox.org/system/images/mtg/cards/201972.jpg,2021-11-09 15:53:18 UTC
1,Plains,Zendikar,233,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.25,https://s.deckbox.org/system/images/mtg/cards/195163.jpg,2021-11-09 15:53:18 UTC
1,Plains,Battle for Zendikar,250,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.18,https://s.deckbox.org/system/images/mtg/cards/401992.jpg,2021-11-07 12:51:20 UTC
1,Plains,Battle for Zendikar,251,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.15,https://s.deckbox.org/system/images/mtg/cards/401993.jpg,2021-11-07 12:51:20 UTC
1,Plains,Battle for Zendikar,252,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.17,https://s.deckbox.org/system/images/mtg/cards/401991.jpg,2021-11-07 12:51:20 UTC
1,Plains,Battle for Zendikar,253,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.14,https://s.deckbox.org/system/images/mtg/cards/401994.jpg,2021-11-07 12:51:20 UTC
1,Plains,Battle for Zendikar,254,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.18,https://s.deckbox.org/system/images/mtg/cards/401990.jpg,2021-11-07 12:51:20 UTC
1,Plains,Amonkhet,250,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.21,https://s.deckbox.org/system/images/mtg/cards/426952.jpg,2021-11-07 12:51:20 UTC
1,Plains,Hour of Devastation,185,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.23,https://s.deckbox.org/system/images/mtg/cards/430874.jpg,2021-11-07 12:51:20 UTC
1,Plains,Innistrad: Midnight Hunt,268,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.21,https://s.deckbox.org/system/images/mtg/cards/2022608.jpg,2021-11-07 12:51:20 UTC
1,Plains,Innistrad: Midnight Hunt,269,,,,,,,,,,Basic Land - Plains,"",BasicLand,$0.22,https://s.deckbox.org/system/images/mtg/cards/2022609.jpg,2021-11-07 12:51:20 UTC
1,Pouncing Shoreshark,Ikoria: Lair of Behemoths,285,,,,,,,,,,Creature - Shark Beast,{4}{U},Uncommon,$0.20,https://s.deckbox.org/system/images/mtg/cards/2011806.jpg,2021-11-07 13:04:21 UTC
1,Putrefy,Strixhaven Mystical Archive,63,,,,,,,,,,Instant,{1}{B}{G},Rare,$0.60,https://s.deckbox.org/system/images/mtg/cards/2018915.jpg,2021-11-07 11:40:51 UTC
1,Queen of Ice // Rage of Winter,Throne of Eldraine,285,,,,,,,,,,Creature - Human Noble Wizard // Sorcery - Adventure,{2}{U} // {1}{U},Common,$0.21,https://s.deckbox.org/system/images/mtg/cards/2005525.jpg,2021-11-07 13:14:24 UTC
1,"Reidane, God of the Worthy // Valkmira, Protector's Shield",Kaldheim,300,,,,,,,,,,Legendary Creature - God // Legendary Artifact,{2}{W} // {3}{W},Rare,$0.52,https://s.deckbox.org/system/images/mtg/cards/2017107.jpg,2021-11-07 11:10:01 UTC
1,Revitalize,Strixhaven Mystical Archive,72,,,,,,,,,,Instant,{1}{W},Uncommon,$0.28,https://s.deckbox.org/system/images/mtg/cards/2018924.jpg,2021-11-07 11:26:57 UTC
1,Shock,Strixhaven Mystical Archive,107,,,,,,,,,,Instant,{R},Uncommon,$0.52,https://s.deckbox.org/system/images/mtg/cards/2018959.jpg,2021-11-07 11:35:34 UTC
1,Smitten Swordmaster // Curry Favor,Throne of Eldraine,290,,,,,,,,,,Creature - Human Knight // Sorcery - Adventure,{1}{B} // {B},Common,$0.25,https://s.deckbox.org/system/images/mtg/cards/2005530.jpg,2021-11-07 13:14:55 UTC
1,"Snapdax, Apex of the Hunt",Ikoria: Lair of Behemoths,306,,,,,,,,,,Legendary Creature - Dinosaur Cat Nightmare,{1}{R}{W}{B},MythicRare,$0.76,https://s.deckbox.org/system/images/mtg/cards/2011827.jpg,2021-11-07 13:09:17 UTC
1,Stone Rain,Strixhaven Mystical Archive,45,,,,,,,,,,Sorcery,{2}{R},Rare,$0.20,https://s.deckbox.org/system/images/mtg/cards/2018897.jpg,2021-11-07 11:23:06 UTC
1,Swamp,Unstable,214,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$4.00,https://s.deckbox.org/system/images/mtg/cards/439603.jpg,2021-11-09 16:08:42 UTC
1,Swamp,Double Masters,377,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$1.47,https://s.deckbox.org/system/images/mtg/cards/2014147.jpg,2021-11-07 12:55:50 UTC
1,Swamp,Zendikar,238,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.75,https://s.deckbox.org/system/images/mtg/cards/201977.jpg,2021-11-09 15:55:32 UTC
1,Swamp,Zendikar,239,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.32,https://s.deckbox.org/system/images/mtg/cards/201978.jpg,2021-11-09 15:55:32 UTC
1,Swamp,Zendikar,240,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.37,https://s.deckbox.org/system/images/mtg/cards/195159.jpg,2021-11-09 15:55:32 UTC
1,Swamp,Zendikar,241,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.26,https://s.deckbox.org/system/images/mtg/cards/195157.jpg,2021-11-09 15:55:32 UTC
1,Swamp,Battle for Zendikar,260,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.21,https://s.deckbox.org/system/images/mtg/cards/402061.jpg,2021-11-07 12:55:50 UTC
1,Swamp,Battle for Zendikar,261,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.22,https://s.deckbox.org/system/images/mtg/cards/402058.jpg,2021-11-07 12:55:50 UTC
1,Swamp,Battle for Zendikar,262,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.24,https://s.deckbox.org/system/images/mtg/cards/402060.jpg,2021-11-07 12:55:50 UTC
1,Swamp,Battle for Zendikar,263,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.22,https://s.deckbox.org/system/images/mtg/cards/402059.jpg,2021-11-07 12:55:50 UTC
1,Swamp,Battle for Zendikar,264,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.19,https://s.deckbox.org/system/images/mtg/cards/402062.jpg,2021-11-07 12:55:50 UTC
1,Swamp,Amonkhet,252,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.37,https://s.deckbox.org/system/images/mtg/cards/426954.jpg,2021-11-07 12:55:50 UTC
1,Swamp,Hour of Devastation,187,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.44,https://s.deckbox.org/system/images/mtg/cards/430876.jpg,2021-11-07 12:55:50 UTC
1,Swamp,Innistrad: Midnight Hunt,272,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.64,https://s.deckbox.org/system/images/mtg/cards/2022612.jpg,2021-11-07 12:55:50 UTC
1,Swamp,Innistrad: Midnight Hunt,273,,,,,,,,,,Basic Land - Swamp,"",BasicLand,$0.72,https://s.deckbox.org/system/images/mtg/cards/2022613.jpg,2021-11-07 12:55:50 UTC
1,"Takenuma, Abandoned Mire","",,Near Mint,English,,,,,,,,Legendary Land,"",Rare,$4.08,https://s.deckbox.org/system/images/mtg/cards/2025774.jpg,2022-02-14 03:24:23 UTC
1,Tamiyo's Safekeeping,"",,Near Mint,English,,,,,,,,Instant,{G},Common,$0.47,https://s.deckbox.org/system/images/mtg/cards/2025704.jpg,2022-02-14 03:53:42 UTC
1,Tendrils of Agony,Strixhaven Mystical Archive,97,,,,,,,,,,Sorcery,{2}{B}{B},Rare,$1.19,https://s.deckbox.org/system/images/mtg/cards/2018949.jpg,2021-11-07 11:32:38 UTC
1,Tuinvale Treefolk // Oaken Boon,Throne of Eldraine,301,,,,,,,,,,Creature - Treefolk Druid // Sorcery - Adventure,{5}{G} // {3}{G},Common,$0.11,https://s.deckbox.org/system/images/mtg/cards/2005541.jpg,2021-11-07 13:16:41 UTC
1,"Vadrok, Apex of Thunder",Ikoria: Lair of Behemoths,308,,,,,,,,,,Legendary Creature - Elemental Dinosaur Cat,{U}{R}{W},MythicRare,$0.46,https://s.deckbox.org/system/images/mtg/cards/2011829.jpg,2021-11-07 13:10:08 UTC




